WB_Code,Year,Population,GDP,GDP_per_capita
TUN,2022,12119334.0,44929920092.7955,3707.29283414381
TUN,2023,12200431.0,48205328303.3398,3951.11683376921
TUN,2024,12277109.0,51332285656.5422,4181.13789301228
TUR,1960,28329898.0,7566666666.66667,267.091207552765
TUR,1961,29119238.0,7988888888.88889,274.350890943262
TUR,1962,29916147.0,8922222222.22222,298.241020884883
TUR,1963,30726841.0,10355555555.5556,337.019856859205
TUR,1964,31543072.0,11177777777.7778,354.365541117168
TUR,1965,32345220.0,11966666666.6667,369.967082204625
TUR,1966,33177672.0,14100000000.0,424.984610131778
TUR,1967,34050421.0,15644444444.4444,459.449369053159
TUR,1968,34921684.0,17500000000.0,501.12130904111
TUR,1969,35787774.0,19466666666.6667,543.947401329478
TUR,1970,36638465.0,17863636363.6364,487.565086682435
TUR,1971,37518611.0,16166666666.6667,430.897259673783
TUR,1972,38430221.0,20650000000.0,537.337529232528
TUR,1973,39329533.0,26000000000.0,661.080821885172
TUR,1974,40210234.0,35414285714.2857,880.728167716848
TUR,1975,41053126.0,46042857142.8571,1121.54326914976
TUR,1976,41899984.0,51450000000.0,1227.92409658199
TUR,1977,42773298.0,58683333333.3333,1371.96185651463
TUR,1978,43645306.0,65912500000.0,1510.18531064944
TUR,1979,44510429.0,89616129032.2581,2013.37374286503
TUR,1980,45408815.0,68823684210.5263,1515.64589850068
TUR,1981,46321190.0,71180180180.1802,1536.66562064101
TUR,1982,47322096.0,64369325153.3742,1360.23825219775
TUR,1983,48447410.0,61803555555.5556,1275.68337617131
TUR,1984,49574069.0,59937602179.8365,1209.05149383313
TUR,1985,50687115.0,67232758620.6897,1326.42701445307
TUR,1986,51777772.0,75673037037.037,1461.49658654754
TUR,1987,52843670.0,87190081680.28,1649.96264794402
TUR,1988,53909626.0,90875175808.7201,1685.69479240535
TUR,1989,54976723.0,107127191328.935,1948.59179454794
TUR,1990,56015628.0,150655500191.644,2689.52621921233
TUR,1991,57009887.0,151034731543.624,2649.27259974439
TUR,1992,57990118.0,159104772991.851,2743.65320297936
TUR,1993,58999167.0,180415757851.616,3057.93737480422
TUR,1994,60033836.0,130650447499.071,2176.2801813809
TUR,1995,61024503.0,234699627004.035,3845.98997887841
TUR,1996,61951134.0,250366965174.129,4041.36210281686
TUR,1997,62852966.0,263817553748.395,4197.37636165642
TUR,1998,63734383.0,276035372654.608,4331.02761275037
TUR,1999,64591923.0,256673939247.773,3973.77763854116
TUR,2000,65425961.0,274748463178.502,4199.3798635759
TUR,2001,66245128.0,202195080239.036,3052.2256706793
TUR,2002,67048795.0,240778008473.845,3591.08628982587
TUR,2003,67831730.0,315392899922.379,4649.63668068586
TUR,2004,68592617.0,410156784495.948,5979.6054216148
TUR,2005,69329557.0,508314210212.544,7331.85429430255
TUR,2006,70045349.0,559668118237.002,7990.08251407245
TUR,2007,70158112.0,685228481017.03,9766.91734545294
TUR,2008,71051678.0,775415944332.866,10913.4079047769
TUR,2009,72039206.0,653894449921.288,9076.92472236977
TUR,2010,73142150.0,782545664268.333,10698.9699409757
TUR,2011,74223629.0,844192507380.795,11373.6355760885
TUR,2012,75175827.0,885327622479.052,11776.7593362033
TUR,2013,76147624.0,962167643588.925,12635.5570016068
TUR,2014,77181884.0,942343431928.654,12209.3862327674
TUR,2015,78218479.0,865460050683.656,11064.6494504662
TUR,2016,79277962.0,870818016909.84,10984.3643169061
TUR,2017,80312698.0,863874522365.276,10756.3877677883
TUR,2018,81407204.0,788356985773.667,9684.11819884721
TUR,2019,82579440.0,775853144222.613,9395.23378001368
TUR,2020,83384680.0,733628247119.077,8798.11791709313
TUR,2021,84147318.0,839938668172.134,9981.76398411336
TUR,2022,84979913.0,926097476913.818,10897.8397861365
TUR,2023,85325965.0,1141242864657.45,13375.0947282864
TUR,2024,85518661.0,1359123768774.12,15892.7157287241
TZA,1960,9901419.0,2651729807.38808,275.296020507813
TZA,1961,10187886.0,2826179031.22839,285.156799316406
TZA,1962,10487756.0,3101589992.664,303.997436523438
TZA,1963,10799528.0,3456579293.44828,329.010589599609
TZA,1964,11127826.0,3748840925.06363,346.301818847656
TZA,1965,11470728.0,3817226546.22938,342.077941894531
TZA,1966,11827459.0,4377998825.12047,380.497924804688
TZA,1967,12200109.0,4565132047.52718,384.642944335938
TZA,1968,12602076.0,4895251824.05927,399.301635742188
TZA,1969,13036700.0,5142066811.47328,405.450805664063
TZA,1970,13492677.0,2851419386.07225,217.235641479492
TZA,1971,13971451.0,3050673517.33059,224.451416015625
TZA,1972,14479308.0,3472787266.0964,246.546295166016
TZA,1973,15010101.0,4144104535.49655,283.801849365234
TZA,1974,15561630.0,4977337978.35959,328.783599853516
TZA,1975,16138361.0,5729917839.54264,364.969940185547
TZA,1976,16736211.0,6472511987.84735,397.542755126953
TZA,1977,17352929.0,7732598995.10303,458.058349609375
TZA,1978,17976566.0,9261675709.83072,529.603637695313
TZA,1979,18592038.0,9804637490.81892,542.11474609375
TZA,1980,19189769.0,11409228086.7463,611.211791992188
TZA,1981,19784703.0,13161540377.5792,683.913269042969
TZA,1982,20398571.0,13927383239.8322,701.959838867188
TZA,1983,21079874.0,14049883809.0089,685.276489257813
TZA,1984,21779066.0,12906635133.1557,609.331420898438
TZA,1985,22501693.0,15328295175.4067,700.450073242188
TZA,1986,23258959.0,10840864521.2338,479.281768798828
TZA,1987,24030378.0,7824193222.11908,334.822784423828
TZA,1988,24769686.0,7406614407.46127,307.50634765625
TZA,1989,25438759.0,6418799006.80247,259.502227783203
TZA,1990,26110207.0,6184384225.02712,243.611557006836
TZA,1991,26780436.0,7197768158.58347,276.452453613281
TZA,1992,27457588.0,6681997469.31292,250.329925537109
TZA,1993,28332692.0,6182872707.82523,224.491546630859
TZA,1994,29442356.0,6550480483.9385,228.890029907227
TZA,1995,30383497.0,7631431840.49992,258.418334960938
TZA,1996,30945762.0,9433528150.36609,313.658386230469
TZA,1997,31578089.0,11158197941.9152,363.597686767578
TZA,1998,32420458.0,12172790056.3733,386.378448486328
TZA,1999,33300330.0,12704334195.8151,392.621765136719
TZA,2000,34260139.0,13371767081.7428,401.698150634766
TZA,2001,35198299.0,13563990022.3641,396.638732910156
TZA,2002,36121304.0,14129651895.6911,402.649047851563
TZA,2003,37089555.0,15211487708.7684,422.18359375
TZA,2004,38109668.0,16673062473.3981,450.385284423828
TZA,2005,39182076.0,18395383647.4975,483.334869384766
TZA,2006,40294902.0,18619859795.2852,475.746734619141
TZA,2007,41435512.0,21860434823.4808,543.198303222656
