Year,Country,Gold,Silver,Bronze,Total,Historical_Gold,Historical_Silver,Historical_Bronze,Historical_Total,Recent_3_Olympics_Avg,WB_Code,Population,GDP,GDP_per_capita,HDI,Climate_Zone,Climate_Description,Avg_Temp_C,Winter_Sports_Index,Education_Spending_pct_GDP,Medals_per_million_pop,Medals_per_billion_GDP,Medals_per_10K_GDPpc,Medals_per_HDI,Gold_per_million_pop,Gold_per_billion_GDP,Gold_per_10K_GDPpc,Gold_per_HDI
2006,AUT,9,7,7,23,42,57,63,162,14.333333333333334,AUT,8268641.0,333905979332.481,40382.2078298575,0.902,2.0,Continental,5.0,7.0,5.26367998123169,2.7815937346898965,0.06888166556939118,5.695577640753568,25.49889135254989,1.0884497222699596,0.026953695222805243,2.2287042942079176,9.977827050997782
2010,AUT,4,6,6,16,51,64,70,185,19.0,AUT,8363404.0,389827789217.634,46611.1393420232,0.912,2.0,Continental,5.0,7.0,5.73625993728638,1.9130966290759122,0.04104376456104181,3.432655847048751,17.543859649122805,0.47827415726897804,0.010260941140260452,0.8581639617621878,4.385964912280701
2014,AUT,4,8,5,17,55,70,76,201,18.666666666666668,AUT,8546356.0,438556021078.034,51314.9722616322,0.919,2.0,Continental,5.0,7.0,5.4976601600647,1.9891518677668003,0.038763576790512524,3.312873270850575,18.498367791077257,0.4680357335921883,0.009120841597767652,0.7794995931413118,4.352557127312296
2018,AUT,5,3,6,14,59,78,81,218,18.666666666666668,AUT,8840521.0,452582294972.775,51194.0749841299,0.925,2.0,Continental,5.0,7.0,5.25437021255493,1.5836170741520776,0.030933600707562296,2.734691466608193,15.135135135135135,0.5655775264828848,0.011047714538415104,0.9766755237886404,5.405405405405405
2022,AUT,7,7,4,18,64,81,87,232,15.666666666666666,AUT,9041851.0,473221298968.216,52336.7725223758,0.927,2.0,Continental,5.0,7.0,5.27748012542725,1.9907428246716294,0.038037172120625476,3.4392644277604947,19.41747572815534,0.7741777651500782,0.014792233602465465,1.337491721906859,7.5512405609492985
2026,AUT,5,8,5,18,71,88,91,250,16.333333333333332,AUT,,,,,2.0,Continental,5.0,7.0,,,,,,,,,
1998,AZE,0,0,0,0,0,0,0,0,0.0,AZE,7913000.0,4446368570.6901,561.906807871869,0.636,2.0,Continental,5.0,7.0,3.38001990318298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,AZE,0,0,0,0,0,0,0,0,0.0,AZE,8171950.0,6236087738.28284,763.108895463487,0.669,2.0,Continental,5.0,7.0,3.15445995330811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,AZE,0,0,0,0,0,0,0,0,0.0,AZE,8484550.0,20981929497.6188,2472.95725732287,0.711,2.0,Continental,5.0,7.0,2.55552005767822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,AZE,0,0,0,0,0,0,0,0,0.0,AZE,9054332.0,52909294791.9262,5843.5337683582,0.744,2.0,Continental,5.0,7.0,2.78062009811401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,AZE,0,0,0,0,0,0,0,0,0.0,AZE,9535079.0,75239785452.1022,7890.84028062087,0.766,2.0,Continental,5.0,7.0,2.63303995132446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,AZE,0,0,0,0,0,0,0,0,0.0,AZE,9939771.0,47112470051.7701,4739.7943123408,0.775,2.0,Continental,5.0,7.0,2.45543003082275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,AZE,0,0,0,0,0,0,0,0,0.0,AZE,10141756.0,78807470588.2353,7770.594223351,0.784,2.0,Continental,5.0,7.0,3.04690003395081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,AZE,0,0,0,0,0,0,0,0,0.0,AZE,,,,,2.0,Continental,5.0,7.0,,,,,,,,,
1964,BEL,0,0,0,0,1,1,2,4,0.6666666666666666,BEL,9378113.0,16168044450.2523,1724.01894179056,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1972,BEL,0,0,0,0,1,1,2,4,0.0,BEL,9711115.0,37209418018.5134,3831.63189999433,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1976,BEL,0,0,0,0,1,1,2,4,0.0,BEL,9818227.0,71113882967.6071,7243.04734119583,,3.0,Temperate,12.0,4.0,5.73104000091553,0.0,0.0,0.0,,0.0,0.0,0.0,
1980,BEL,0,0,0,0,1,1,2,4,0.0,BEL,9859242.0,126829314388.191,12864.0025661396,,3.0,Temperate,12.0,4.0,5.31063985824585,0.0,0.0,0.0,,0.0,0.0,0.0,
1984,BEL,0,0,0,0,1,1,2,4,0.0,BEL,9855372.0,83349530159.1734,8457.26880316374,,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
1988,BEL,0,0,0,0,1,1,2,4,0.0,BEL,9901664.0,162299103675.261,16391.093827791,,3.0,Temperate,12.0,4.0,4.30072021484375,0.0,0.0,0.0,,0.0,0.0,0.0,
1992,BEL,0,0,0,0,1,1,2,4,0.0,BEL,10045158.0,234781652446.675,23372.619171015,0.845,3.0,Temperate,12.0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
