Year,Country,Gold,Silver,Bronze,Total,Total_Athletes,Individual_Medalists,Gold_Medalists,Silver_Medalists,Bronze_Medalists,Total_Medals_Awarded,Gold_Awarded,Silver_Awarded,Bronze_Awarded
2024,MGL,0,1,0,1,32,1,0,1,0,1,0,1,0
2024,MHL,0,0,0,0,4,0,0,0,0,0,0,0,0
2024,MKD,0,0,0,0,6,0,0,0,0,0,0,0,0
2024,MLI,0,0,0,0,27,0,0,0,0,0,0,0,0
2024,MLT,0,0,0,0,5,0,0,0,0,0,0,0,0
2024,MNE,0,0,0,0,19,0,0,0,0,0,0,0,0
2024,MON,0,0,0,0,6,0,0,0,0,0,0,0,0
2024,MOZ,0,0,0,0,7,0,0,0,0,0,0,0,0
2024,MRI,0,0,0,0,13,0,0,0,0,0,0,0,0
2024,MTN,0,0,0,0,2,0,0,0,0,0,0,0,0
2024,MYA,0,0,0,0,2,0,0,0,0,0,0,0,0
2024,NAM,0,0,0,0,4,0,0,0,0,0,0,0,0
2024,NCA,0,0,0,0,7,0,0,0,0,0,0,0,0
2024,NED,15,7,12,34,274,107,63,24,25,115,65,24,26
2024,NEP,0,0,0,0,7,0,0,0,0,0,0,0,0
2024,NGR,0,0,0,0,84,0,0,0,0,0,0,0,0
2024,NIG,0,0,0,0,7,0,0,0,0,0,0,0,0
2024,NOR,4,1,3,8,107,23,18,1,4,23,18,1,4
2024,NRU,0,0,0,0,1,0,0,0,0,0,0,0,0
2024,NZL,10,7,3,20,208,43,22,16,7,49,26,16,7
2024,OMA,0,0,0,0,4,0,0,0,0,0,0,0,0
2024,PAK,1,0,0,1,7,1,1,0,0,1,1,0,0
2024,PAN,0,1,0,1,8,1,0,1,0,1,0,1,0
2024,PAR,0,0,0,0,31,0,0,0,0,0,0,0,0
2024,PER,0,0,1,1,26,1,0,0,1,1,0,0,1
2024,PHI,2,0,2,4,22,3,1,0,2,4,2,0,2
2024,PLE,0,0,0,0,8,0,0,0,0,0,0,0,0
2024,PLW,0,0,0,0,3,0,0,0,0,0,0,0,0
2024,PNG,0,0,0,0,7,0,0,0,0,0,0,0,0
2024,POL,1,4,5,10,214,28,1,16,11,28,1,16,11
2024,POR,1,2,1,4,73,4,2,2,1,5,2,2,1
2024,PRK,0,2,4,6,14,7,0,4,4,8,0,4,4
2024,PUR,0,0,2,2,51,2,0,0,2,2,0,0,2
2024,QAT,0,0,1,1,13,1,0,0,1,1,0,0,1
2024,ROU,3,4,2,9,96,16,12,7,2,21,12,7,2
2024,RSA,1,3,2,6,139,20,1,6,14,21,1,6,14
2024,RWA,0,0,0,0,8,0,0,0,0,0,0,0,0
2024,SAM,0,0,0,0,24,0,0,0,0,0,0,0,0
2024,SEN,0,0,0,0,11,0,0,0,0,0,0,0,0
2024,SEY,0,0,0,0,3,0,0,0,0,0,0,0,0
2024,SGP,0,0,1,1,23,1,0,0,1,1,0,0,1
2024,SKN,0,0,0,0,3,0,0,0,0,0,0,0,0
2024,SLE,0,0,0,0,4,0,0,0,0,0,0,0,0
2024,SLO,2,1,0,3,94,3,2,1,0,3,2,1,0
2024,SMR,0,0,0,0,5,0,0,0,0,0,0,0,0
